id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
17,1,1,1,https://account.dxy.com,account.dxy.com,1,868f1b60ac01763c-cl2.qcloudzygj.com,81.69.64.111,1,1,443,200,OK,丁香医生|专业健康生活方式平台,,81.69.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,QianXunQuery
20,1,1,1,http://account.dxy.com,account.dxy.com,1,868f1b60ac01763c-cl2.qcloudzygj.com,81.69.64.111,1,1,80,200,OK,丁香医生|专业健康生活方式平台,,81.69.64.0/18,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国上海上海市,电信,QianXunQuery
8,1,1,1,http://ask-grey.dxy.com,ask-grey.dxy.com,1,ask-grey.dxy.com,106.75.70.204,1,1,80,200,OK,'\n\n\n\n\nredirect in 1 second ...\n\n\n',nginx,106.75.64.0/19,AS4808,China Unicom,中国北京北京市,电信,MySSLQuery
12,1,1,1,https://ask-grey.dxy.com,ask-grey.dxy.com,1,ask-grey.dxy.com,106.75.70.204,1,0,443,403,Forbidden,403 Forbidden,nginx,106.75.64.0/19,AS4808,China Unicom,中国北京北京市,电信,MySSLQuery
16,1,1,1,https://ask.dxy.com,ask.dxy.com,1,"mnd4sci3.e0.sched.ovscdns.com,mnd4sci3.e0.sched.ovscdns.com,mnd4sci3.e0.sched.ovscdns.com","101.33.11.106,101.33.11.32,43.152.29.38","1,1,1",1,443,200,OK,大家都在问|相关问题在线咨询_常见问题_丁香医生,,"101.33.0.0/16,101.33.0.0/16,43.128.0.0/10","AS131469,AS131469,AS-","Rm.2204 Building 2 Huihuang International Building,Rm.2204 Building 2 Huihuang International Building,-","中国北京北京市,中国北京北京市,澳大利亚","未知,未知,未知",IP138Query
27,1,1,1,http://ask.dxy.com,ask.dxy.com,1,"mnd4sci3.e0.sched.ovscdns.com,mnd4sci3.e0.sched.ovscdns.com,mnd4sci3.e0.sched.ovscdns.com","101.33.11.106,101.33.11.32,43.152.29.38","1,1,1",1,80,200,OK,大家都在问|相关问题在线咨询_常见问题_丁香医生,,"101.33.0.0/16,101.33.0.0/16,43.128.0.0/10","AS131469,AS131469,AS-","Rm.2204 Building 2 Huihuang International Building,Rm.2204 Building 2 Huihuang International Building,-","中国北京北京市,中国北京北京市,澳大利亚","未知,未知,未知",IP138Query
14,1,1,1,http://bbs.dxy.com,bbs.dxy.com,1,"fe.dxy.cn,fe.dxy.cn,fe.dxy.cn","121.43.176.163,123.59.77.102,112.124.103.79","1,1,1",0,80,200,OK,丁香园 - 医学交流社区，分享临床经验、病例讨论、考试科研、求职晋升经验,nginx,"121.43.0.0/16,123.59.64.0/19,112.124.0.0/17","AS37963,AS4808,AS37963","Hangzhou Alibaba Advertising Co. Ltd.,China Unicom,Hangzhou Alibaba Advertising Co. Ltd.","中国浙江省杭州市,中国北京北京市,中国浙江省杭州市","阿里云,电信,阿里云",IP138Query
19,1,1,1,https://bbs.dxy.com,bbs.dxy.com,1,"fe.dxy.cn,fe.dxy.cn,fe.dxy.cn","121.43.176.163,123.59.77.102,112.124.103.79","1,1,1",0,443,200,OK,丁香园 - 医学交流社区，分享临床经验、病例讨论、考试科研、求职晋升经验,nginx,"121.43.0.0/16,123.59.64.0/19,112.124.0.0/17","AS37963,AS4808,AS37963","Hangzhou Alibaba Advertising Co. Ltd.,China Unicom,Hangzhou Alibaba Advertising Co. Ltd.","中国浙江省杭州市,中国北京北京市,中国浙江省杭州市","阿里云,电信,阿里云",IP138Query
15,1,1,1,http://clinic.dxy.com,clinic.dxy.com,1,clinic.dxy.com,106.75.216.226,1,1,80,200,OK,丁香云管家 - 专为基础医疗打造的全方位诊疗系统,,106.75.208.0/20,AS4812,China Telecom (Group),中国上海上海市,电信,IP138Query
32,1,1,1,https://clinic.dxy.com,clinic.dxy.com,1,clinic.dxy.com,106.75.216.226,1,1,443,200,OK,丁香云管家 - 专为基础医疗打造的全方位诊疗系统,,106.75.208.0/20,AS4812,China Telecom (Group),中国上海上海市,电信,IP138Query
